Def,Example,Persian,English
ab,1. Die Fahrt kostet ab Hamburg 200 Euro. 2. Ab nächster Woche bleibt unser Geschäft samstags geschlossen. 3. Mein Bruder besucht uns ab und zu.,دور,away
"abbiegen, biegt ab, bog ab, ist abgebogen",An der nächsten Kreuzung müssen Sie links abbiegen.,"روشن کردن، خاموش کردن، خاموش کردن، تبدیل شده است","turn, turns off, turned off, has turned"
"die Abbildung, -en","Auf der Abbildung sehen Sie, wie man das Gerät einschaltet.",تصویر(ها),the image(s)
"das Abenteuer, -",1. Unser Urlaub war ein tolles Abenteuer. 2. Die Kinder lieben Abenteuergeschichten.,"ماجراجویی، -","the adventure, -"
aber,"1. Heute kann ich nicht, aber morgen ganz bestimmt. 2. Es lag sehr viel Schnee, aber Enzo ist trotzdem mit dem Motorrad gefahren. 3. Wir haben nur eine kleine Wohnung, sind aber damit zufrieden. 4. Es war sehr schön. Jetzt muss ich aber gehen. 5. Ich würde gerne kommen, aber es geht leider nicht. 6. Darf ich dich zu einem Kaffee einladen? – Aber ja, sehr gern. 7. Du spielst aber gut Klavier.",اما,but
"abfahren, fährt ab, fuhr ab, ist abgefahren",Unser Zug ist pünktlich abgefahren.,"عزیمت می‌کند، عزیمت می‌کند، عزیمت کرده است، عزیمت کرده است","depart, departs, departed, has departed"
"die Abfahrt, -en",Es bleiben uns noch zwanzig Minuten bis zur Abfahrt.,"حرکت، -s","the departure, -s"
"der Abfall, ¨-e",Werfen Sie den Bioabfall bitte nicht zum normalen Müll.,"زباله، ¨-e","the waste, ¨-e"
"der Abfalleimer, -",Wirf das bitte in den Abfalleimer!,"سطل زباله، -","the waste bin, -"
Abgase (Pl.),Abgase aus Industrie und Haushalten verschmutzen die Luft.,دود اگزوز (جمع),Exhaust fumes (pl.)
"abgeben, gibt ab, gab ab, hat abgegeben",Ich soll dieses Päckchen bei Herrn Müller abgeben.,"دست در دست، دست در دست، تقدیم کرده، داده است","hand in, hands in, handed in, has handed in"
"abhängen, hängt ab, hing ab, hat abgehangen (von)","Vielleicht bleiben wir ein paar Tage länger, das hängt vom Wetter ab.","بستگی داشتن، وابسته بودن، وابسته بودن، وابسته بودن (به)","depend, depends, depended, has depended (on)"
abhängig,Gregor ist finanziell von seinen Eltern abhängig.,وابسته,dependent
"abheben, hebt ab, hob ab, hat abgehoben",Für die Reise habe ich 500 Euro von meinem Konto abgehoben.,"برخاستن، برخاستن، برخاستن، برخاسته است","take off, takes off, took off, has taken off"
"abholen, holt ab, holte ab, hat abgeholt",Meine Freundin hat mich vom Bahnhof abgeholt.,"برداشتن، برداشتن، برداشتن، برداشته است","pick up, picks up, picked up, has picked up"
"abschreiben, schreibt ab, schrieb ab, hat abgeschrieben",Er hat die Hausaufgaben von mir abgeschrieben.,"کپی کردن، نسخه‌ها، رونوشت کردن، کپی کرده است","to copy, copies, copied, has copied"
"das Abitur (D) → A, CH: Matura",Meine Tochter hat gerade Abitur gemacht.,"Abitur (آلمان) → A, CH: Matura","Abitur (Germany) → A, CH: Matura"
"ablehnen, lehnt ab, lehnte ab, hat abgelehnt","Er hat mein Angebot, ihm zu helfen, abgelehnt.","رد کردن، رد کردن، رد کردن، رد کرده است","to reject, rejects, rejected, has rejected"
"abmachen, macht ab, machte ab, hat abgemacht","Wir hatten doch abgemacht, dass du die Getränke besorgst.","مرتب کردن، ترتیب دادن، ترتیب دادن، ترتیب داده است","to arrange, arrange, arranged, has arranged"
"abnehmen, nimmt ab, nahm ab, hat abgenommen",1. Morgen können wir den Verband abnehmen. 2. Ich habe zehn Kilo abgenommen.,"لاغر شدن، لاغر شدن، وزن کم کردن، وزن کم کرده است","lose weight, loses weight, lost weight, has lost weight"
"abonnieren, abonniert, abonnierte, hat abonniert",Diese Zeitschrift würde ich gerne abonnieren.,"مشترک شدن، مشترک شدن، مشترک شدن، مشترک شده است","subscribe, subscribed, subscribed, has subscribed"
"das Abonnement, -s/-e",Ich habe das Abonnement gekündigt.,"اشتراک، -s/-e","the subscription, -s/-e"
"absagen, sagt ab, sagte ab, hat abgesagt","Ich muss unser Treffen leider absagen, weil ich krank geworden bin.","لغو کردن، لغو کردن، لغو کردن، لغو کرده است","to cancel, cancels, canceled, has canceled"
"der Abschluss, ¨-e",Ein guter Schulabschluss ist sehr wichtig.,"نتیجه، -e","the conclusion, -e"
"der Abschnitt, -e",Lesen Sie bitte den zweiten Abschnitt.,"بخش، -s","the section, -s"
"der Absender, - die Absenderin, -nen",Schicken Sie das Paket an den Absender zurück.,"فرستنده، - فرستنده (مونث)، -s","the sender, - the sender (female), -s"
"die Absicht, -en",1. Entschuldigen Sie bitte. Meine Tochter hat das nicht mit Absicht gemacht. 2. Hast du die Absicht zu studieren?,"نیت، -s","the intention, -s"
absolut,"1. Was Sie da sagen, ist absolut falsch. 2. Ich habe absolutes Vertrauen zu dir.",کاملاً,absolutely
"abstimmen, stimmt ab, stimmte ab, hat abgestimmt",Lasst uns über diesen Punkt abstimmen.,"رأی دادن، رأی دادن، رأی داده است","vote, votes, voted, has voted"
"die Abteilung, -en",Meine Freundin arbeitet in der Abteilung von Frau Kaufmann.,دپارتمان(ها),the department(s)
"der Abwart, -e die Abwartin, -nen (CH) → D, A: Hausmeister","Der Abwart hat mir geholfen, den Schrank in die Wohnung zu tragen.","سرایدار، -s سرایدار زن، -s (CH) → D، A: سرایدار","the caretaker, -s the female caretaker, -s (CH) → D, A: janitor"
abwärts,Von dort führt der Weg abwärts ins Tal.,پایین,down
"abwaschen, wäscht ab, wusch ab, hat abgewaschen",Ich muss noch das Geschirr abwaschen.,"شستشو، شستشو، شستشو، شستشو داده شده است","wash up, washes up, washed up, has washed up"
abwesend,Herr Huber ist bis zum 25. April abwesend.,غایب,absent
"achten, achtet, achtete, hat geachtet (auf)","Achten Sie bitte darauf, dass Sie abschließen, wenn Sie gehen.","توجه کردن، توجه کردن، توجه کردن، توجه کرده است (به)","pay attention, pays attention, paid attention, has paid attention (to)"
Achtung!,"Achtung, hier endet die Straße!",خطر!,Danger!
